track_name,artist,genre,danceability,energy,valence,popularity_score
When the End Comes,Andrew Belle,acoustic,0.541,0.575,0.428,57
You're Still The One,Bailey Jehl,acoustic,0.607,0.473,0.54,56
Light Me Up,Ingrid Michaelson,acoustic,0.417,0.595,0.117,56
93 Million Miles,Jason Mraz,acoustic,0.572,0.454,0.515,67
Kaleidoscope,A Great Big World,acoustic,0.709,0.913,0.519,62
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,0.537,0.342,0.253,45
What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,0.602,0.336,0.335,64
Have It All,Jason Mraz,acoustic,0.643,0.638,0.6,65
Heavy Heart,Gabrielle Aplin,acoustic,0.451,0.7,0.37,0
The House We Never Built,Gabrielle Aplin,acoustic,0.546,0.391,0.202,0
Society,Eddie Vedder,acoustic,0.561,0.327,0.298,68
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.479,0.541,0.3,0
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.479,0.541,0.3,0
Guaranteed,Eddie Vedder,acoustic,0.436,0.4,0.351,61
Brave,Sara Bareilles,acoustic,0.551,0.836,0.758,70
Lonely This Christmas,KT Tunstall,acoustic,0.409,0.153,0.18,0
Lonely This Christmas,KT Tunstall,acoustic,0.409,0.153,0.18,0
Heaven Knows,Five For Fighting,acoustic,0.6,0.845,0.392,62
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
Fairytale Of New York,KT Tunstall,acoustic,0.447,0.555,0.33,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0
Hold On,KT Tunstall,acoustic,0.661,0.937,0.805,0
Suddenly I See,KT Tunstall,acoustic,0.603,0.78,0.693,0
